NAME                                     | CODE       | LONGS (Sample)
----------------------------------------------------------------------
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 70285
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 15183
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 70775
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 62016
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 23955
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 62849
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 71503
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 42058
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 69166
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 85687
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 67808
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 81725
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 75804
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 70683
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 75984
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 68694
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 73511
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 84023
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 82935
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 96555
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 87917
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 83882
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 78898
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 77286
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 82749
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 92945
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 73119
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 73775
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 82585
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 76213
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 66391
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 76491
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 90084
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 61737
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 26237
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 61767
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 67567
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 35935
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 70420
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 29350
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 67502
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 73557
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 62942
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 24662
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 72564
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 76663
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 66624
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 21083
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 22105
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 65524
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 77026
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 85091
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 72355
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 29366
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 32844
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 72026
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 85720
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 69089
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 82637
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 18524
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 28879
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 72608
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 85026
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 70925
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 82789
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 51240
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 71327
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 59155
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 84033
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 70973
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 83169
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 67290
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 76652
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 26867
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 77302
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 78223
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 46866
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 78932
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 82108
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 57111
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 81547
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 85897
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 86207
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 63709
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 63305
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 76558
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 76429
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 84598
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 76101
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 85010
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 85405
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 84550
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 86551
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 96001
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 97915
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 94384
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 87625
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 98101
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 84077
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 89500
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 90062
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 86537
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 90497
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 76185
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 79561
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 85105
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 91306
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 88779
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 90185
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 98701
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 80348
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 78330
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 35593
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 48131
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 83021
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 78944
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 65466
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 78680
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 83692
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 88369
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 84375
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 88544
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 103466
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 86972
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 94317
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 118805
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 93744
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 83742
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 128474
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 97292
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 88518
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 92445
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 82979
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 133960
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 90667
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 154877
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 79907
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 69488
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 155140
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 82245
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 87501
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 73204
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 166195
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 68511
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 68217
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 12067
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 64109
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 64886
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 14085
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 64284
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 14538
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 65399
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 65942
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 66179
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 22243
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 65351
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 66139
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 12427
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 17399
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 62829
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 63431
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 61315
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 60312
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 29163
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 65707
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 34566
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 65234
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 68568
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 68869
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 40656
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 68390
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 68460
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 42835
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 68455
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 51404
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 68402
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 35262
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 60959
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 60252
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 60795
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 61336
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 59275
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 65041
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 66122
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 65102
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 23794
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 69542
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 67869
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 33816
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 70185
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 71783
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 66337
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 36282
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 67705
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 32385
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 65921
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 64830
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 53388
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 51812
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 24157
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 49794
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 48377
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 30763
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 30562
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 50648
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 50888
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 42030
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 49051
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 48230
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 55674
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 54107
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 39911
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 63961
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 65461
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 40570
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 67374
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 67895
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 41201
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 69833
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 68433
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 50015
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 53462
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 68287
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 65981
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 51747
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 52615
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 9548
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 56071
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 56497
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 9532
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 20821
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 57058
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 56872
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 48843
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 46829
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 24440
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 37473
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 48989
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 49104
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 56266
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 57891
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 52758
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 58961
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 62784
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 61284
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 71007
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 70424
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 68657
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 61892
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 66681
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 64817
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 68024
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 78669
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 74155
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 85819
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 82241
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 89355
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 93410
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 91735
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 84419
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 94151
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 85940
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 93025
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 13975
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 78928
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 78280
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 73369
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 9195
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 73675
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 8400
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 59802
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 11960
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 57068
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 11414
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 14093
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 12324
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 12646
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 61621
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 18954
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 12048
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 60241
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 11888
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 14279
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 59439
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 58310
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 10559
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 11662
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 10802
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 10054
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 54009
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 11570
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 16172
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 57849
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 10789
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 53946
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 17850
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 17805
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 55586
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 11117
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 12227
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 17476
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 61133
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 10613
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 29940
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 53063
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 10262
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 16510
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 51309
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 38815
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 35646
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 7763
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 51607
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 10321
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 16548
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 20029
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 11751
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 58753
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 64807
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 12961
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 23878
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 73543
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 73064
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 37284
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 41544
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 78800
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 80188
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 81526
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 81022
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 66693
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 78974
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 61646
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 78584
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 80375
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 87244
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 85416
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 89542
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 91874
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 76571
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 91391
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 91986
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 73864
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 33621
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 71831
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 71956
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 79203
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 81119
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 41398
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 68020
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 70707
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 54918
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 70620
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 75622
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 65498
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 75196
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 68272
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 92281
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO  | 209747     | 63747
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 66261
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 59273
NASDAQ MINI - CHICAGO MERCANTILE EXCHANG | 209742     | 69643
NASDAQ-100 Consolidated - CHICAGO MERCAN | 20974+     | 64211
